code_switched,arabic,english
Okay و ف .. في ال+weekends بتعملي ايه يوم اجازة؟,تمام و ف .. في اجازات أخر الاسبوع بتعملي ايه يوم اجازة؟,Okay and on .. on the weekends what do you do on a weekend?
Okay ماشي و ال+hobbies عامة؟ ال+hobbies بتاعتك؟,تمام ماشي و الهوايات عامة؟ الهوايات بتاعتك؟,Okay okay and what about hobbies in general? Your hobbies?
ماشي,ماشي,Okay
لما كان قبل ما يروح المدرسة كنت مثلا بتعمليه اي حد بيعلم ابنه كلمه كلمتين يقعد يقوله مثلا هات kiss مش عارف ايه فكنتي بتقوليله ايه؟ كنتي بتعمليه ايه؟ بال+English ولا بالعربي؟ وليه؟,لما كان قبل ما يروح المدرسة كنت مثلا بتعمليه اي حد بيعلم ابنه كلمه كلمتين يقعد يقوله مثلا هات بوسة مش عارف ايه فكنتي بتقوليله ايه؟ كنتي بتعمليه ايه؟ بالإنجليزي ولا بالعربي؟ وليه؟,Before start sending your kid to school have you ever taught him for example parents may teach their kids one or two words for example give me a kiss or something like that so what did you use to tell him? What did you teach him? In English or in Arabic? and why?
Okay طيب بمناسبة القراية انت كنت بتقولي انك بتحبي تقري ايه اكتر quote عجباكي او دايما ثابتة في دماغك؟,تمام طيب بمناسبة القراية انت كنت بتقولي انك بتحبي تقري ايه اكتر مقولة عجباكي او دايما ثابتة في دماغك؟,Okay okay regarding reading you said that you like reading which quote do you like the most or is always on your mind?
Okay طيب ممكن تحكيلنا عن .. عن كتاب قريتيه او اخر كتاب قريتيه؟ او اي كتاب قريتيه؟ اكتر حاجة معلقة في دماغك؟,تمام طيب ممكن تحكيلنا عن .. عن كتاب قريتيه او اخر كتاب قريتيه؟ او اي كتاب قريتيه؟ اكتر حاجة معلقة في دماغك؟,Okay okay would you tell us about .. about a book that you have read or the last book you have read? or any book that you have read? which thing do you remember the most?
Okay طيب انت عامة بتسمعي اغاني English و لا عربي؟,تمام طيب انت عامة بتسمعي اغاني إنجيزي و لا عربي؟,Okay okay do you generally listen to english songs or Arabic ones?
كان ال+bachelor بتاعك عن ايه؟ ال+bachelor*project كان عن ايه؟,كان مشروع التخرج بتاعك عن ايه؟ مشروع التخرج كان عن ايه؟,What was your Bachelor about? The Bachelor project was about what?
ماشي طيب انت كنت ال ال+dream*job بتاعتك تشتغلي teacher assistant TA في الجامعة ولا كان ايه في دماغك؟,ماشي طيب انت كنت وظيفة الأحلام بتاعتك تشتغلي مساعد مدرس مساعد مدرس في الجامعة ولا كان ايه في دماغك؟,Okay okay was it your dream job to work as a teacher assistant TA at the university or what was on your mind?
انت قلتي ان انت سافرتي قبل كده في .. في Africa صح؟,انت قلتي ان انت سافرتي قبل كده في .. في أفريقيا صح؟,You told me that you have traveled before in .. in Africa right?
سافرتي في حته تانية؟,سافرتي في حته تانية؟,Have you traveled to another place?
Okay ايه اكتر حاجة انت فكراها؟ اكتر .. اكتر مكان روحتيه و اكتر مكان شوفتيه وكان حاجة عجباكي اوي لسه فكراها لغاية دلوقت عمرك ما هتنسيها؟,تمام ايه اكتر حاجة انت فكراها؟ اكتر .. اكتر مكان روحتيه و اكتر مكان شوفتيه وكان حاجة عجباكي اوي لسه فكراها لغاية دلوقت عمرك ما هتنسيها؟,Okay what is it you remember the most? the most .. the most place you have been to and the most place you have seen and you liked so much that you still remember till now and you will never forget?
Okay طيب لما سافرتي عملتي صحاب كان did you make friends يعنى؟,تمام طيب لما سافرتي عملتي صحاب كان كانت عملتي صحاب يعنى؟,Okay when you traveled did you make friends I mean did you make friends?
طب ايه اكتر moment حسيتي انها turning point في حياتك عامة من زمان؟,طب ايه اكتر لحظة حسيتي انها نقطة تحول في حياتك عامة من زمان؟,What is the most prominent moment that you felt was a turning point in your life in general since long time ago?
Okay كان حسيتي ايه التغيير في شخصيتك او يعني يعني قبل ما قبليها و بعديها؟,تمام كان حسيتي ايه التغيير في شخصيتك او يعني يعني قبل ما قبليها و بعديها؟,Okay what was the change in your personality or I mean I mean before before it and after it.
Okay في .. في سؤال عاوز اقراهولك زي ما هو كده عشان يعني على اساس ان احنا teaching عامة would you rather to be loved or respected?,تمام في .. في سؤال عاوز اقراهولك زي ما هو كده عشان يعني على اساس ان احنا التدريس عامة تفضل أنك تكون محبوب أو إن الناس تحترمك؟,Okay there is .. there is a question that I want to read to you as it is because we are teaching in general would you rather be loved or respected?
تحبي اكتر الناس تبقى بتتعامل معاكي و تعمل الحاجة عشان بتحبك ولا عشان they have to .. they have to respect you?,تحبي اكتر الناس تبقى بتتعامل معاكي و تعمل الحاجة عشان بتحبك ولا عشان لازم .. لازم يحترموك?,Would you like people to deal with you and do something for you because they like you or because they have to .. they have to respect you
Okay طب و يعني ليه ليه بتحسي انه الناس بتيجي تتكلم معاكي بسهولة؟,تمام طب و يعني ليه ليه بتحسي انه الناس بتيجي تتكلم معاكي بسهولة؟,Okay well and why why do you feel that people come and easily talk to you?
بتقابلي مواقف زي دى؟,بتقابلي مواقف زي دى؟,Do you face such situations?
ولا بتحسي ..,ولا بتحسي ..,Or do you feel ..
Okay بت .. لم .. بتحسي بصعوبة لما تيجي تتكلمي مع ناس من social level مختلف؟ اقل او اعلى؟,تمام بت .. لم .. بتحسي بصعوبة لما تيجي تتكلمي مع ناس من مستوى اجتماعي مختلف؟ اقل او اعلى؟,Okay .. when .. do you feel difficulty when talking to people from a different social level? lower or higher?
Okay طيب ده .. ده علشان تب .. تبهري اللي قدامك او تحسسيه ان انا يعني انا عارف اتكلم اللغة دى,تمام طيب ده .. ده علشان تب .. تبهري اللي قدامك او تحسسيه ان انا يعني انا عارف اتكلم اللغة دى,Okay well that .. that is to .. impress the other or to make him feel that I can speak this language
